"Product Name",Category,"Sell Price","Buy Price"
Aeolipile,"Fallen Empires",1.92,0.08
"Armor Thrull","Fallen Empires",0.21,0.00
"Armor Thrull (Kirschner)","Fallen Empires",0.20,0.00
"Armor Thrull (Menges)","Fallen Empires",0.20,0.00
"Armor Thrull (Spencer)","Fallen Empires",0.19,0.00
"Balm of Restoration","Fallen Empires",0.52,0.08
"Basal Thrull","Fallen Empires",0.24,0.00
"Basal Thrull (Ferguson)","Fallen Empires",0.20,0.00
"Basal Thrull (P. Foglio)","Fallen Empires",0.15,0.00
"Basal Thrull (Rush)","Fallen Empires",0.22,0.00
"Bottomless Vault","Fallen Empires",0.89,0.08
"Brassclaw Orcs (Claws)","Fallen Empires",0.20,0.00
"Brassclaw Orcs (Horned Helm)","Fallen Empires",0.19,0.00
"Brassclaw Orcs (Map)","Fallen Empires",0.19,0.00
"Brassclaw Orcs (Pike)","Fallen Empires",0.20,0.00
"Breeding Pit","Fallen Empires",0.27,0.01
"Combat Medic (Beard Jr.)","Fallen Empires",0.21,0.00
"Combat Medic (Camp)","Fallen Empires",0.20,0.00
"Combat Medic (Danforth)","Fallen Empires",0.14,0.00
"Combat Medic (Maddocks)","Fallen Empires",0.16,0.00
"Conch Horn","Fallen Empires",1.88,0.08
"Deep Spawn","Fallen Empires",0.24,0.01
"Delif's Cone","Fallen Empires",0.22,0.00
"Delif's Cube","Fallen Empires",0.58,0.08
Derelor,"Fallen Empires",0.46,0.08
"Draconian Cylix","Fallen Empires",0.71,0.08
"Dwarven Armorer","Fallen Empires",0.53,0.08
"Dwarven Catapult","Fallen Empires",0.24,0.01
"Dwarven Hold","Fallen Empires",0.95,0.08
"Dwarven Lieutenant","Fallen Empires",0.26,0.01
"Dwarven Ruins","Fallen Empires",0.29,0.01
"Dwarven Soldier (Alexander)","Fallen Empires",0.19,0.00
"Dwarven Soldier (Asplund-Faith)","Fallen Empires",0.20,0.00
"Dwarven Soldier (Shuler)","Fallen Empires",0.17,0.00
"Ebon Praetor","Fallen Empires",1.05,0.08
"Ebon Stronghold","Fallen Empires",0.30,0.01
"Elven Fortress","Fallen Empires",0.21,0.00
"Elven Fortress (Asplund-Faith)","Fallen Empires",0.18,0.00
"Elven Fortress (Poole)","Fallen Empires",0.18,0.00
"Elven Fortress (Wanerstrand)","Fallen Empires",0.19,0.00
"Elven Lyre","Fallen Empires",0.56,0.08
"Elvish Farmer","Fallen Empires",3.50,1.40
"Elvish Hunter","Fallen Empires",0.21,0.00
"Elvish Hunter (Camp)","Fallen Empires",0.22,0.00
"Elvish Hunter (Maddocks)","Fallen Empires",0.21,0.00
