"Product Name",Category,"Sell Price","Buy Price"
"Adventuring Gear",Zendikar,0.23,0.00
"Aether Figment",Zendikar,0.24,0.01
"Akoum Refuge",Zendikar,0.24,0.01
"Angel Token",Zendikar,0.43,0.00
"Archive Trap",Zendikar,11.15,5.02
"Archmage Ascension",Zendikar,1.21,0.08
"Arid Mesa",Zendikar,42.74,21.37
"Armament Master",Zendikar,0.37,0.08
"Arrow Volley Trap",Zendikar,0.24,0.01
"Bala Ged Thief",Zendikar,0.44,0.08
"Baloth Cage Trap",Zendikar,0.22,0.01
"Baloth Woodcrasher",Zendikar,0.23,0.01
"Beast Hunt",Zendikar,0.24,0.00
"Beast Token",Zendikar,0.28,0.00
"Beastmaster Ascension",Zendikar,4.09,1.64
"Bird Token",Zendikar,0.23,0.00
"Blade of the Bloodchief",Zendikar,1.80,0.08
"Bladetusk Boar",Zendikar,0.24,0.00
"Blazing Torch",Zendikar,0.24,0.01
"Blood Seeker",Zendikar,0.24,0.00
"Blood Tribute",Zendikar,0.61,0.08
"Bloodchief Ascension",Zendikar,11.23,5.05
Bloodghast,Zendikar,17.22,7.75
"Bog Tatters",Zendikar,0.24,0.00
"Bold Defense",Zendikar,0.24,0.00
"Brave the Elements",Zendikar,0.30,0.01
"Burst Lightning",Zendikar,0.24,0.00
"Caller of Gales",Zendikar,0.24,0.00
Cancel,Zendikar,0.24,0.00
"Caravan Hurda",Zendikar,0.24,0.00
"Carnage Altar",Zendikar,0.24,0.01
"Celestial Mantle",Zendikar,3.52,1.41
"Chandra Ablaze",Zendikar,5.69,2.28
"Cliff Threader",Zendikar,0.24,0.00
"Cobra Trap",Zendikar,0.24,0.01
"Conqueror's Pledge",Zendikar,0.47,0.08
"Cosi's Trickster",Zendikar,0.50,0.08
"Crypt of Agadeem",Zendikar,2.84,0.25
"Crypt Ripper",Zendikar,0.24,0.00
"Day of Judgment",Zendikar,2.45,0.25
Demolish,Zendikar,0.24,0.00
"Desecrated Earth",Zendikar,0.24,0.00
"Devout Lightcaster",Zendikar,0.43,0.08
Disfigure,Zendikar,0.24,0.00
"Eldrazi Monument",Zendikar,9.49,3.80
Electropotence,Zendikar,0.36,0.08
"Elemental Appeal",Zendikar,0.38,0.08
"Elemental Token",Zendikar,0.24,0.00
"Emeria Angel",Zendikar,0.94,0.08
"Emeria, the Sky Ruin",Zendikar,7.26,2.90
"Eternity Vessel",Zendikar,2.70,0.25
"Expedition Map",Zendikar,5.11,2.04
"Explorer's Scope",Zendikar,0.23,0.00
"Feast of Blood",Zendikar,0.46,0.01
"Felidar Sovereign",Zendikar,1.32,0.25
"Forest (246) - Full Art",Zendikar,0.91,0.00
"Forest (246a)",Zendikar,0.29,0.00
"Forest (247) - Full Art",Zendikar,0.48,0.00
"Forest (247a)",Zendikar,0.32,0.00
"Forest (248) - Full Art",Zendikar,1.30,0.00
"Forest (248a)",Zendikar,0.28,0.00
"Forest (249) - Full Art",Zendikar,0.39,0.00
"Forest (249a)",Zendikar,0.28,0.00
"Frontier Guide",Zendikar,0.23,0.01
"Gatekeeper of Malakir",Zendikar,1.19,0.01
"Geyser Glider",Zendikar,0.23,0.01
"Giant Scorpion",Zendikar,0.24,0.00
Gigantiform,Zendikar,0.33,0.08
"Goblin Bushwhacker",Zendikar,1.66,0.00
"Goblin Guide",Zendikar,19.03,8.56
"Goblin Ruinblaster",Zendikar,0.23,0.01
"Goblin Shortcutter",Zendikar,0.24,0.00
"Goblin War Paint",Zendikar,0.24,0.00
Gomazoa,Zendikar,0.24,0.01
"Grappling Hook",Zendikar,0.47,0.08
"Graypelt Refuge",Zendikar,0.31,0.01
"Grazing Gladehart",Zendikar,0.24,0.00
"Greenweaver Druid",Zendikar,0.24,0.01
"Grim Discovery",Zendikar,0.24,0.00
"Guul Draz Specter",Zendikar,0.37,0.08
"Guul Draz Vampire",Zendikar,0.23,0.00
"Hagra Crocodile",Zendikar,0.24,0.00
"Hagra Diabolist",Zendikar,0.26,0.01
"Halo Hunter",Zendikar,0.41,0.08
Harrow,Zendikar,0.23,0.00
"Heartstabber Mosquito",Zendikar,0.24,0.00
"Hedron Crab",Zendikar,4.36,1.74
"Hedron Scrabbler",Zendikar,0.24,0.00
"Hellfire Mongrel",Zendikar,0.24,0.01
"Hellkite Charger",Zendikar,0.73,0.08
"Hideous End",Zendikar,0.24,0.00
"Highland Berserker",Zendikar,0.24,0.00
"Illusion Token",Zendikar,0.24,0.00
"Inferno Trap",Zendikar,0.24,0.01
"Into the Roil",Zendikar,0.24,0.00
"Iona, Shield of Emeria",Zendikar,11.40,5.13
"Ior Ruin Expedition",Zendikar,0.24,0.00
"Island (234) - Full Art",Zendikar,0.87,0.00
"Island (234a)",Zendikar,0.22,0.00
"Island (235) - Full Art",Zendikar,0.48,0.00
"Island (235a)",Zendikar,0.23,0.00
"Island (236) - Full Art",Zendikar,1.72,0.00
"Island (236a)",Zendikar,0.41,0.00
"Island (237) - Full Art",Zendikar,0.43,0.00
"Island (237a)",Zendikar,0.27,0.00
"Joraga Bard",Zendikar,0.24,0.00
"Journey to Nowhere",Zendikar,1.19,0.00
"Jwar Isle Refuge",Zendikar,0.36,0.01
"Kabira Crossroads",Zendikar,0.27,0.00
"Kabira Evangel",Zendikar,1.28,0.08
"Kalitas, Bloodchief of Ghet",Zendikar,6.64,2.66
"Kazandu Blademaster",Zendikar,0.61,0.01
"Kazandu Refuge",Zendikar,0.28,0.01
"Kazuul Warlord",Zendikar,0.47,0.08
"Khalni Gem",Zendikar,0.24,0.01
"Khalni Heart Expedition",Zendikar,0.28,0.00
"Kor Aeronaut",Zendikar,0.24,0.01
"Kor Cartographer",Zendikar,0.27,0.00
"Kor Duelist",Zendikar,0.24,0.01
"Kor Hookmaster",Zendikar,0.24,0.00
"Kor Outfitter",Zendikar,0.23,0.00
"Kor Sanctifiers",Zendikar,0.24,0.00
"Kor Skyfisher",Zendikar,0.24,0.00
"Kor Soldier Token",Zendikar,0.27,0.00
"Kraken Hatchling",Zendikar,0.24,0.00
"Landbind Ritual",Zendikar,0.24,0.01
"Lavaball Trap",Zendikar,0.36,0.08
"Lethargy Trap",Zendikar,0.24,0.00
"Living Tsunami",Zendikar,0.24,0.01
"Lorthos, the Tidemaker",Zendikar,1.21,0.25
"Lotus Cobra",Zendikar,9.02,3.61
"Lullmage Mentor",Zendikar,1.23,0.08
"Luminarch Ascension",Zendikar,4.21,1.68
"Magma Rift",Zendikar,0.24,0.00
"Magosi, the Waterveil",Zendikar,0.48,0.08
"Makindi Shieldmate",Zendikar,0.24,0.00
"Malakir Bloodwitch",Zendikar,0.94,0.08
"Mark of Mutiny",Zendikar,0.23,0.01
"Marsh Casualties",Zendikar,0.23,0.01
"Marsh Flats",Zendikar,45.07,22.54
"Merfolk Seastalkers",Zendikar,0.24,0.01
"Merfolk Token",Zendikar,0.40,0.00
"Merfolk Wayfinder",Zendikar,0.24,0.01
"Mind Sludge",Zendikar,0.23,0.01
"Mindbreak Trap",Zendikar,6.54,2.62
"Mindless Null",Zendikar,0.24,0.00
"Mire Blight",Zendikar,0.24,0.00
"Misty Rainforest",Zendikar,65.10,35.81
"Mold Shambler",Zendikar,0.24,0.00
"Molten Ravager",Zendikar,0.24,0.00
"Mountain (242) - Full Art",Zendikar,0.48,0.00
"Mountain (242a)",Zendikar,0.25,0.00
"Mountain (243) - Full Art",Zendikar,0.42,0.00
"Mountain (243a)",Zendikar,0.26,0.00
"Mountain (244) - Full Art",Zendikar,0.74,0.00
"Mountain (244a)",Zendikar,0.33,0.00
"Mountain (245) - Full Art",Zendikar,0.48,0.00
"Mountain (245a)",Zendikar,0.33,0.00
"Murasa Pyromancer",Zendikar,0.24,0.01
"Narrow Escape",Zendikar,0.24,0.00
"Needlebite Trap",Zendikar,0.24,0.01
"Nimana Sell-Sword",Zendikar,0.24,0.00
"Nimbus Wings",Zendikar,0.24,0.00
"Nissa Revane",Zendikar,7.70,3.08
"Nissa's Chosen",Zendikar,0.24,0.00
"Noble Vestige",Zendikar,0.24,0.00
"Ob Nixilis, the Fallen",Zendikar,10.10,4.55
"Obsidian Fireheart",Zendikar,0.95,0.25
"Ondu Cleric",Zendikar,0.24,0.00
"Oracle of Mul Daya",Zendikar,33.01,16.51
"Oran-Rief Recluse",Zendikar,0.24,0.00
"Oran-Rief Survivalist",Zendikar,0.24,0.00
"Oran-Rief, the Vastwood",Zendikar,1.24,0.08
"Paralyzing Grasp",Zendikar,0.24,0.00
"Pillarfield Ox",Zendikar,0.24,0.00
"Piranha Marsh",Zendikar,0.21,0.00
"Pitfall Trap",Zendikar,0.24,0.01
"Plains (230) - Full Art",Zendikar,0.48,0.00
"Plains (230a)",Zendikar,0.24,0.00
"Plains (231) - Full Art",Zendikar,0.48,0.00
"Plains (231a)",Zendikar,0.32,0.00
"Plains (232) - Full Art",Zendikar,0.45,0.00
"Plains (232a)",Zendikar,0.33,0.00
"Plains (233) - Full Art",Zendikar,0.42,0.00
"Plains (233a)",Zendikar,0.29,0.00
"Plated Geopede",Zendikar,0.24,0.00
"Predatory Urge",Zendikar,0.32,0.08
"Primal Bellow",Zendikar,0.24,0.01
"Punishing Fire",Zendikar,0.33,0.01
"Pyromancer Ascension",Zendikar,5.04,2.02
"Quest for Ancient Secrets",Zendikar,0.23,0.01
"Quest for Pure Flame",Zendikar,0.26,0.01
"Quest for the Gemblades",Zendikar,0.24,0.01
"Quest for the Gravelord",Zendikar,0.24,0.01
"Quest for the Holy Relic",Zendikar,0.25,0.01
"Rampaging Baloths",Zendikar,1.00,0.25
"Ravenous Trap",Zendikar,4.74,1.90
"Reckless Scholar",Zendikar,0.24,0.00
"Relic Crush",Zendikar,0.24,0.00
"Rite of Replication",Zendikar,4.44,1.78
"River Boa",Zendikar,0.24,0.01
"Roil Elemental",Zendikar,5.46,2.18
"Ruinous Minotaur",Zendikar,0.24,0.00
"Runeflare Trap",Zendikar,0.24,0.01
"Sadistic Sacrament",Zendikar,1.80,0.08
"Savage Silhouette",Zendikar,0.24,0.00
"Scalding Tarn",Zendikar,90.34,49.69
"Scute Mob",Zendikar,0.62,0.08
"Scythe Tiger",Zendikar,0.24,0.00
"Sea Gate Loremaster",Zendikar,0.48,0.08
"Seascape Aerialist",Zendikar,0.23,0.01
"Seismic Shudder",Zendikar,0.24,0.00
"Sejiri Refuge",Zendikar,0.43,0.01
"Shatterskull Giant",Zendikar,0.24,0.00
"Shepherd of the Lost",Zendikar,0.24,0.01
"Shieldmate's Blessing",Zendikar,0.24,0.00
"Shoal Serpent",Zendikar,0.24,0.00
"Sky Ruin Drake",Zendikar,0.24,0.00
"Slaughter Cry",Zendikar,0.24,0.00
"Snake Token",Zendikar,0.24,0.00
"Soaring Seacliff",Zendikar,0.24,0.00
"Sorin Markov",Zendikar,15.25,6.86
"Soul Stair Expedition",Zendikar,0.24,0.00
"Spell Pierce",Zendikar,0.46,0.00
"Sphinx of Jwar Isle",Zendikar,0.30,0.08
"Sphinx of Lost Truths",Zendikar,0.40,0.08
"Spidersilk Net",Zendikar,0.24,0.00
"Spire Barrage",Zendikar,0.24,0.00
"Spreading Seas",Zendikar,1.15,0.00
"Steppe Lynx",Zendikar,0.22,0.00
"Stonework Puma",Zendikar,0.24,0.00
"Summoner's Bane",Zendikar,0.21,0.01
"Summoning Trap",Zendikar,0.56,0.08
"Sunspring Expedition",Zendikar,0.24,0.00
"Surrakar Marauder",Zendikar,0.24,0.00
"Swamp (238) - Full Art",Zendikar,0.71,0.00
"Swamp (238a)",Zendikar,0.33,0.00
"Swamp (239) - Full Art",Zendikar,0.48,0.00
"Swamp (239a)",Zendikar,0.31,0.00
"Swamp (240) - Full Art",Zendikar,0.59,0.00
"Swamp (240a)",Zendikar,0.33,0.00
"Swamp (241) - Full Art",Zendikar,0.45,0.00
"Swamp (241a)",Zendikar,0.33,0.00
"Tajuru Archer",Zendikar,0.24,0.01
Tanglesap,Zendikar,0.24,0.00
"Teetering Peaks",Zendikar,0.24,0.00
"Tempest Owl",Zendikar,0.24,0.00
"Terra Stomper",Zendikar,0.47,0.08
"Territorial Baloth",Zendikar,0.24,0.00
