"Product Name",Category,"Sell Price","Buy Price"
"Accelerated Mutation",Scourge,0.14,0.00
"Ageless Sentinels",Scourge,0.42,0.00
"Alpha Status",Scourge,1.15,0.10
"Ambush Commander",Scourge,1.42,0.10
"Ancient Ooze",Scourge,0.58,0.10
"Aphetto Runecaster",Scourge,0.70,0.10
"Ark of Blight",Scourge,0.24,0.00
"Astral Steel",Scourge,0.17,0.00
"Aven Farseer",Scourge,0.15,0.00
"Aven Liberator",Scourge,0.17,0.00
"Bladewing the Risen",Scourge,1.18,0.10
"Bladewing's Thrall",Scourge,0.24,0.00
"Bonethorn Valesk",Scourge,0.17,0.00
"Brain Freeze",Scourge,1.40,0.10
"Break Asunder",Scourge,0.16,0.00
"Cabal Conditioning",Scourge,0.47,0.00
"Cabal Interrogator",Scourge,0.24,0.00
"Call to the Grave",Scourge,1.14,0.10
Carbonize,Scourge,0.24,0.00
"Carrion Feeder",Scourge,1.43,0.10
"Chartooth Cougar",Scourge,0.17,0.00
"Chill Haunting",Scourge,0.22,0.00
"Claws of Wirewood",Scourge,0.24,0.00
"Clutch of Undeath",Scourge,0.17,0.00
"Coast Watcher",Scourge,0.15,0.00
"Consumptive Goo",Scourge,0.44,0.00
"Daru Spiritualist",Scourge,0.19,0.00
"Daru Warchief",Scourge,1.23,0.10
"Dawn Elemental",Scourge,0.68,0.10
"Day of the Dragons",Scourge,0.48,0.00
"Death's-Head Buzzard",Scourge,0.14,0.00
"Decree of Annihilation",Scourge,2.89,1.43
"Decree of Justice",Scourge,0.94,0.10
"Decree of Pain",Scourge,4.41,2.18
"Decree of Savagery",Scourge,0.71,0.10
"Decree of Silence",Scourge,4.23,2.09
"Dimensional Breach",Scourge,0.46,0.00
"Dispersal Shield",Scourge,0.17,0.00
"Divergent Growth",Scourge,0.15,0.00
"Dragon Breath",Scourge,0.24,0.00
"Dragon Fangs",Scourge,0.18,0.00
"Dragon Mage",Scourge,1.69,0.10
"Dragon Scales",Scourge,0.18,0.00
"Dragon Shadow",Scourge,0.17,0.00
"Dragon Tyrant",Scourge,2.37,0.25
"Dragon Wings",Scourge,0.18,0.00
"Dragonspeaker Shaman",Scourge,2.60,0.25
Dragonstalker,Scourge,0.23,0.00
Dragonstorm,Scourge,1.11,0.10
Edgewalker,Scourge,1.22,0.10
"Elvish Aberration",Scourge,0.24,0.00
Enrage,Scourge,0.23,0.00
"Eternal Dragon",Scourge,1.19,0.10
"Exiled Doomsayer",Scourge,0.38,0.00
"Extra Arms",Scourge,0.23,0.00
"Faces of the Past",Scourge,0.74,0.10
"Fatal Mutation",Scourge,0.24,0.00
"Fierce Empath",Scourge,0.47,0.00
"Final Punishment",Scourge,0.40,0.00
"Force Bubble",Scourge,0.44,0.00
"Forgotten Ancient",Scourge,1.51,0.10
"Form of the Dragon",Scourge,0.71,0.10
"Frontline Strategist",Scourge,0.18,0.00
"Frozen Solid",Scourge,0.18,0.00
"Gilded Light",Scourge,0.24,0.00
"Goblin Brigand",Scourge,0.15,0.00
"Goblin Psychopath",Scourge,0.23,0.00
"Goblin War Strike",Scourge,0.71,0.10
"Goblin Warchief",Scourge,1.13,0.10
"Grip of Chaos",Scourge,1.91,0.25
"Guilty Conscience",Scourge,0.24,0.00
"Hindering Touch",Scourge,0.16,0.00
"Hunting Pack",Scourge,0.24,0.00
"Karona, False God",Scourge,1.23,0.10
"Karona's Zealot",Scourge,0.24,0.00
"Krosan Drover",Scourge,0.21,0.00
"Krosan Warchief",Scourge,0.28,0.00
Kurgadon,Scourge,0.24,0.00
"Lethal Vapors",Scourge,2.62,0.25
"Lingering Death",Scourge,0.15,0.00
"Long-Term Plans",Scourge,3.21,1.59
"Mercurial Kite",Scourge,0.14,0.00
Metamorphose,Scourge,0.25,0.00
"Mind's Desire",Scourge,1.15,0.10
"Mischievous Quanar",Scourge,5.44,2.69
"Misguided Rage",Scourge,0.17,0.00
"Mistform Warchief",Scourge,0.24,0.00
Nefashu,Scourge,0.43,0.00
"Noble Templar",Scourge,0.19,0.00
"One with Nature",Scourge,0.33,0.00
"Parallel Thoughts",Scourge,0.55,0.10
"Pemmin's Aura",Scourge,4.28,2.12
"Primitive Etchings",Scourge,0.47,0.00
"Proteus Machine",Scourge,0.24,0.00
"Putrid Raptor",Scourge,0.23,0.00
"Pyrostatic Pillar",Scourge,0.68,0.10
"Rain of Blades",Scourge,0.22,0.00
"Raven Guild Initiate",Scourge,0.16,0.00
"Raven Guild Master",Scourge,1.47,0.10
"Reaping the Graves",Scourge,0.36,0.00
Recuperate,Scourge,0.17,0.00
"Reward the Faithful",Scourge,0.23,0.00
"Riptide Survivor",Scourge,0.24,0.00
"Rock Jockey",Scourge,0.16,0.00
"Root Elemental",Scourge,0.41,0.00
"Rush of Knowledge",Scourge,0.20,0.00
Scattershot,Scourge,0.17,0.00
"Scornful Egotist",Scourge,0.19,0.00
"Shoreline Ranger",Scourge,0.16,0.00
