"Product Name",Category,"Sell Price","Buy Price"
"Academy Drake",Dominaria,0.14,0.00
"Academy Journeymage",Dominaria,0.14,0.00
"Adamant Will",Dominaria,0.14,0.00
"Adeliz, the Cinder Wind",Dominaria,0.30,0.00
"Adventurous Impulse",Dominaria,0.21,0.00
"Aesthir Glider",Dominaria,0.14,0.00
"Amaranthine Wall",Dominaria,0.24,0.00
"Ancient Animus",Dominaria,0.15,0.00
"Arbor Armament",Dominaria,0.14,0.00
"Arcane Flight",Dominaria,0.14,0.00
"Artificer's Assistant",Dominaria,0.19,0.00
"Arvad the Cursed",Dominaria,0.24,0.00
"Aryel, Knight of Windgrace",Dominaria,0.45,0.00
"Aven Sentry",Dominaria,0.14,0.00
"Baird, Steward of Argive",Dominaria,0.32,0.00
"Baloth Gorger",Dominaria,0.14,0.00
Befuddle,Dominaria,0.14,0.00
"Benalish Honor Guard",Dominaria,0.14,0.00
"Benalish Marshal",Dominaria,0.50,0.00
"Blackblade Reforged",Dominaria,0.95,0.10
"Blessed Light",Dominaria,0.14,0.00
"Blessing of Belzenlok",Dominaria,0.14,0.00
"Blink of an Eye",Dominaria,0.19,0.00
"Bloodstone Goblin",Dominaria,0.14,0.00
"Bloodtallow Candle",Dominaria,0.14,0.00
"Board the Weatherlight",Dominaria,0.24,0.00
"Broken Bond",Dominaria,0.24,0.00
"Cabal Evangel",Dominaria,0.14,0.00
"Cabal Paladin",Dominaria,0.14,0.00
"Cabal Stronghold",Dominaria,1.26,0.10
"Caligo Skin-Witch",Dominaria,0.14,0.00
"Call the Cavalry",Dominaria,0.14,0.00
"Cast Down",Dominaria,0.38,0.00
"Chainer's Torment",Dominaria,0.24,0.00
"Champion of the Flame",Dominaria,0.24,0.00
"Chandra, Bold Pyromancer",Dominaria,0.00,0.00
"Chandra's Outburst",Dominaria,0.33,0.00
Charge,Dominaria,0.15,0.00
"Cleric Token",Dominaria,0.22,0.00
"Clifftop Retreat",Dominaria,3.75,1.76
"Cloudreader Sphinx",Dominaria,0.14,0.00
"Cold-Water Snapper",Dominaria,0.14,0.00
"Construct Token",Dominaria,3.03,1.42
"Corrosive Ooze",Dominaria,0.14,0.00
"Curator's Ward",Dominaria,0.24,0.00
"Damping Sphere",Dominaria,1.13,0.10
"Danitha Capashen, Paragon",Dominaria,0.32,0.00
"Darigaaz Reincarnated",Dominaria,0.71,0.10
"Daring Archaeologist",Dominaria,0.30,0.00
"Dark Bargain",Dominaria,0.17,0.00
"Dauntless Bodyguard",Dominaria,0.24,0.00
"D'Avenant Trapper",Dominaria,0.14,0.00
"Deathbloom Thallid",Dominaria,0.15,0.00
"Deep Freeze",Dominaria,0.18,0.00
"Demon Token",Dominaria,0.29,0.00
"Demonic Vigor",Dominaria,0.17,0.00
"Demonlord Belzenlok",Dominaria,0.93,0.10
"Diligent Excavator",Dominaria,0.24,0.00
Divest,Dominaria,0.18,0.00
Divination,Dominaria,0.15,0.00
"Dread Shade",Dominaria,0.46,0.00
"Drudge Sentinel",Dominaria,0.14,0.00
Dub,Dominaria,0.15,0.00
"Elemental Token",Dominaria,0.20,0.00
"Elfhame Druid",Dominaria,0.24,0.00
"Emblem - Jaya Ballard",Dominaria,0.31,0.00
"Emblem - Teferi, Hero of Dominaria",Dominaria,0.71,0.10
Eviscerate,Dominaria,0.14,0.00
"Evra, Halcyon Witness",Dominaria,0.33,0.00
"Excavation Elephant",Dominaria,0.14,0.00
"Fall of the Thran",Dominaria,0.37,0.00
"Feral Abomination",Dominaria,0.14,0.00
"Fervent Strike",Dominaria,0.14,0.00
"Fiery Intervention",Dominaria,0.14,0.00
"Fight with Fire",Dominaria,0.24,0.00
"Final Parting",Dominaria,0.32,0.00
"Fire Elemental",Dominaria,0.14,0.00
"Firefist Adept",Dominaria,0.24,0.00
"Forebear's Blade",Dominaria,0.47,0.00
"Forest (266)",Dominaria,0.23,0.00
"Forest (267)",Dominaria,0.15,0.00
"Forest (268)",Dominaria,0.16,0.00
"Forest (269)",Dominaria,0.15,0.00
"Frenzied Rage",Dominaria,0.15,0.00
"Fungal Infection",Dominaria,0.18,0.00
"Fungal Plots",Dominaria,0.24,0.00
"Gaea's Blessing",Dominaria,0.24,0.00
"Gaea's Protector",Dominaria,0.14,0.00
"Garna, the Bloodflame",Dominaria,0.24,0.00
"Ghitu Chronicler",Dominaria,0.14,0.00
"Ghitu Journeymage",Dominaria,0.14,0.00
"Ghitu Lavarunner",Dominaria,0.20,0.00
