"Product Name",Category,"Sell Price","Buy Price"
"Adder-Staff Boggart",Lorwyn,0.19,0.00
Aethersnipe,Lorwyn,0.19,0.00
"Ajani Goldmane",Lorwyn,7.59,3.04
"Amoeboid Changeling",Lorwyn,0.47,0.00
"Ancient Amphitheater",Lorwyn,0.71,0.08
"Aquitect's Will",Lorwyn,0.26,0.00
"Arbiter of Knollridge",Lorwyn,0.44,0.08
"Ashling the Pilgrim",Lorwyn,2.70,0.25
"Ashling's Prerogative",Lorwyn,0.48,0.08
"Auntie's Hovel",Lorwyn,28.97,14.49
"Austere Command",Lorwyn,8.34,3.34
"Avatar Token",Lorwyn,1.09,0.00
"Avian Changeling",Lorwyn,0.19,0.00
"Axegrinder Giant",Lorwyn,0.18,0.00
"Battle Mastery",Lorwyn,0.28,0.01
"Battlewand Oak",Lorwyn,0.20,0.00
"Beast Token",Lorwyn,0.24,0.00
Benthicore,Lorwyn,0.24,0.01
"Black Poplar Shaman",Lorwyn,0.21,0.00
"Blades of Velis Vel",Lorwyn,0.19,0.00
"Blind-Spot Giant",Lorwyn,0.19,0.00
"Bog Hoodlums",Lorwyn,0.20,0.00
"Boggart Birth Rite",Lorwyn,0.19,0.00
"Boggart Forager",Lorwyn,0.18,0.00
"Boggart Harbinger",Lorwyn,0.48,0.01
"Boggart Loggers",Lorwyn,0.19,0.00
"Boggart Mob",Lorwyn,0.71,0.08
"Boggart Shenanigans",Lorwyn,0.95,0.01
"Boggart Sprite-Chaser",Lorwyn,0.18,0.00
"Bog-Strider Ash",Lorwyn,0.19,0.00
Briarhorn,Lorwyn,0.24,0.01
"Brigid, Hero of Kinsbaile",Lorwyn,0.92,0.08
"Brion Stoutarm",Lorwyn,0.71,0.08
"Broken Ambitions",Lorwyn,0.19,0.00
"Burrenton Forge-Tender",Lorwyn,0.73,0.01
"Cairn Wanderer",Lorwyn,2.85,0.25
"Captivating Glance",Lorwyn,0.24,0.01
"Caterwauling Boggart",Lorwyn,0.24,0.00
"Ceaseless Searblades",Lorwyn,0.24,0.01
"Cenn's Heir",Lorwyn,0.18,0.00
"Chandra Nalaar",Lorwyn,2.85,0.25
"Changeling Berserker",Lorwyn,0.34,0.01
"Changeling Hero",Lorwyn,0.29,0.01
