"Product Name",Category,"Sell Price","Buy Price"
"Admiral's Order","Rivals of Ixalan",0.45,0.08
"Aggressive Urge","Rivals of Ixalan",0.24,0.00
"Angrath, Minotaur Pirate","Rivals of Ixalan",-,-
"Angrath, the Flame-Chained","Rivals of Ixalan",4.78,1.91
"Angrath's Ambusher","Rivals of Ixalan",0.23,0.01
"Angrath's Fury","Rivals of Ixalan",0.43,0.08
"Aquatic Incursion","Rivals of Ixalan",0.24,0.01
"Arch of Orazca","Rivals of Ixalan",1.06,0.08
"Arterial Flow","Rivals of Ixalan",0.27,0.01
"Atzocan Seer","Rivals of Ixalan",0.24,0.01
"Awakened Amalgam","Rivals of Ixalan",0.34,0.08
"Azor, the Lawbringer","Rivals of Ixalan",1.82,0.25
"Azor's Gateway","Rivals of Ixalan",2.37,0.25
"Baffling End","Rivals of Ixalan",0.24,0.01
"Bishop of Binding","Rivals of Ixalan",0.34,0.08
"Blazing Hope","Rivals of Ixalan",0.24,0.01
"Blood Sun","Rivals of Ixalan",1.52,0.08
Bombard,"Rivals of Ixalan",0.24,0.00
"Brass's Bounty","Rivals of Ixalan",0.42,0.08
"Brazen Freebooter","Rivals of Ixalan",0.24,0.00
"Buccaneer's Bravado","Rivals of Ixalan",0.24,0.00
Cacophodon,"Rivals of Ixalan",0.24,0.01
"Canal Monitor","Rivals of Ixalan",0.24,0.00
"Captain's Hook","Rivals of Ixalan",0.33,0.08
"Champion of Dusk","Rivals of Ixalan",0.48,0.08
"Charging Tuskodon","Rivals of Ixalan",0.24,0.01
"Checklist Card - Rivals of Ixalan","Rivals of Ixalan",0.24,0.00
"Cherished Hatchling","Rivals of Ixalan",0.24,0.01
"Cinder Barrens","Rivals of Ixalan",0.22,0.00
"City's Blessing Token (006)","Rivals of Ixalan",0.22,0.00
"Cleansing Ray","Rivals of Ixalan",0.24,0.00
"Colossal Dreadmaw","Rivals of Ixalan",0.24,0.00
"Crafty Cutpurse","Rivals of Ixalan",0.45,0.08
"Crashing Tide","Rivals of Ixalan",0.24,0.00
"Crested Herdcaller","Rivals of Ixalan",0.24,0.01
"Curious Obsession","Rivals of Ixalan",0.95,0.01
"Daring Buccaneer","Rivals of Ixalan",0.24,0.01
"Dark Inquiry","Rivals of Ixalan",0.24,0.00
"Dead Man's Chest","Rivals of Ixalan",0.37,0.08
"Deadeye Brawler","Rivals of Ixalan",0.24,0.01
"Deadeye Rig-Hauler","Rivals of Ixalan",0.24,0.00
"Deeproot Elite","Rivals of Ixalan",0.98,0.08
"Dinosaur Hunter","Rivals of Ixalan",0.24,0.00
"Dire Fleet Daredevil","Rivals of Ixalan",2.84,0.25
"Dire Fleet Neckbreaker","Rivals of Ixalan",0.24,0.01
"Dire Fleet Poisoner","Rivals of Ixalan",0.71,0.08
"Divine Verdict","Rivals of Ixalan",0.24,0.00
"Dusk Charger","Rivals of Ixalan",0.24,0.00
"Dusk Legion Zealot","Rivals of Ixalan",0.22,0.00
"Elemental Token (001)","Rivals of Ixalan",0.25,0.00
"Elemental Token (002)","Rivals of Ixalan",0.24,0.00
"Elenda, the Dusk Rose","Rivals of Ixalan",8.95,3.58
"Emblem - Huatli, Radiant Champion","Rivals of Ixalan",0.24,0.00
"Enter the Unknown","Rivals of Ixalan",0.25,0.01
"Etali, Primal Storm","Rivals of Ixalan",4.65,1.86
"Everdawn Champion","Rivals of Ixalan",0.24,0.01
"Evolving Wilds","Rivals of Ixalan",0.24,0.00
"Expel from Orazca","Rivals of Ixalan",0.24,0.01
