"Product Name",Category,"Sell Price","Buy Price"
"Advice from the Fae",Shadowmoor,0.24,0.01
Aethertow,Shadowmoor,0.19,0.00
"Aphotic Wisps",Shadowmoor,0.23,0.00
"Apothecary Initiate",Shadowmoor,0.18,0.00
"Armored Ascension",Shadowmoor,0.24,0.01
"Ashenmoor Cohort",Shadowmoor,0.18,0.00
"Ashenmoor Gouger",Shadowmoor,0.30,0.01
"Ashenmoor Liege",Shadowmoor,4.24,1.70
"Augury Adept",Shadowmoor,0.67,0.08
"Ballynock Cohort",Shadowmoor,0.20,0.00
"Barkshell Blessing",Shadowmoor,0.18,0.00
"Barrenton Cragtreads",Shadowmoor,0.18,0.00
"Barrenton Medic",Shadowmoor,0.18,0.00
"Beseech the Queen",Shadowmoor,5.21,2.08
"Biting Tether",Shadowmoor,0.24,0.01
"Blazethorn Scarecrow",Shadowmoor,0.22,0.00
"Blight Sickle",Shadowmoor,0.24,0.00
"Blistering Dieflyn",Shadowmoor,0.18,0.00
"Bloodmark Mentor",Shadowmoor,1.58,0.01
"Bloodshed Fever",Shadowmoor,0.18,0.00
"Blowfly Infestation",Shadowmoor,4.18,1.67
"Boartusk Liege",Shadowmoor,5.42,2.17
"Boggart Arsonists",Shadowmoor,0.18,0.00
"Boggart Ram-Gang",Shadowmoor,0.68,0.01
"Boon Reflection",Shadowmoor,10.38,4.67
"Briarberry Cohort",Shadowmoor,0.19,0.00
"Burn Trail",Shadowmoor,0.17,0.00
"Cauldron of Souls",Shadowmoor,2.75,0.25
"Cemetery Puca",Shadowmoor,1.99,0.08
"Cerulean Wisps",Shadowmoor,0.33,0.00
Chainbreaker,Shadowmoor,0.20,0.00
Cinderbones,Shadowmoor,0.20,0.00
"Cinderhaze Wretch",Shadowmoor,0.22,0.00
"Consign to Dream",Shadowmoor,0.24,0.00
"Corrosive Mentor",Shadowmoor,2.71,0.25
Corrupt,Shadowmoor,0.24,0.01
Counterbore,Shadowmoor,0.50,0.08
"Crabapple Cohort",Shadowmoor,0.19,0.00
"Cragganwick Cremator",Shadowmoor,2.53,0.25
"Crimson Wisps",Shadowmoor,2.82,0.25
"Crowd of Cinders",Shadowmoor,0.24,0.01
"Cultbrand Cinder",Shadowmoor,0.17,0.00
"Curse of Chains",Shadowmoor,0.88,0.00
Cursecatcher,Shadowmoor,1.34,0.01
"Dawnglow Infusion",Shadowmoor,0.31,0.01
"Deepchannel Mentor",Shadowmoor,2.49,0.25
"Deep-Slumber Titan",Shadowmoor,0.47,0.08
"Demigod of Revenge",Shadowmoor,3.58,1.43
"Deus of Calamity",Shadowmoor,1.43,0.08
"Devoted Druid",Shadowmoor,2.18,0.25
"Din of the Fireherd",Shadowmoor,0.71,0.08
